ip_address,device_id,otp_delay,geo_distance,login_time,attempt_count,browser_info,is_new_ip,past_failures,network_type
141.27.195.203,dev_108,6,6501.78,04:22,3,Firefox,False,3,WiFi
241.149.66.200,dev_85,69,11340.98,19:44,3,Opera,True,3,WiFi
117.16.46.89,dev_283,9,11227.72,01:51,1,Opera,False,4,VPN
121.45.15.148,dev_299,30,3369.06,14:39,5,Safari,False,1,Mobile
203.3.46.214,dev_121,28,6409.48,18:15,3,Firefox,True,5,Mobile
56.172.123.191,dev_212,16,1590.23,22:07,4,Opera,True,1,VPN
196.6.30.171,dev_18,31,12423.22,12:06,1,Safari,True,2,Ethernet
144.65.58.84,dev_235,25,1112.51,11:12,1,Opera,True,0,Ethernet
75.164.27.232,dev_72,41,4702.88,04:15,1,Safari,False,3,Ethernet
225.166.245.81,dev_243,29,9235.65,11:40,5,Opera,True,5,Mobile
156.138.40.211,dev_101,25,9203.19,17:57,3,Safari,True,5,WiFi
114.143.203.86,dev_98,27,13034.32,00:03,1,Firefox,True,1,VPN
94.166.23.223,dev_227,90,146.44,17:55,4,Edge,False,4,WiFi
206.114.125.168,dev_30,53,8304.33,12:31,2,Safari,False,0,VPN
173.253.108.112,dev_274,83,2713.83,02:42,3,Edge,False,3,WiFi
10.99.103.224,dev_117,49,3673.21,07:29,3,Opera,True,1,Mobile
173.131.121.101,dev_86,51,10074.1,10:09,1,Opera,False,1,Ethernet
46.179.37.37,dev_51,4,8923.07,05:58,5,Chrome,False,0,Mobile
240.23.173.183,dev_243,60,7739.48,22:54,4,Edge,False,4,VPN
53.76.157.62,dev_202,80,9977.66,15:29,5,Opera,False,0,WiFi
21.42.165.33,dev_30,49,3999.71,18:28,5,Edge,True,1,WiFi
245.164.127.44,dev_199,49,9775.62,13:43,5,Opera,True,5,VPN
53.225.242.83,dev_217,29,91.39,03:25,5,Chrome,True,4,VPN
132.157.255.119,dev_110,20,11338.76,19:41,6,Chrome,True,0,WiFi
152.161.59.71,dev_282,80,11064.62,19:47,6,Firefox,True,4,Ethernet
49.86.88.109,dev_257,63,2983.82,18:52,3,Opera,False,2,Mobile
221.154.136.96,dev_12,74,4409.52,00:19,1,Opera,False,0,Ethernet
20.206.126.75,dev_135,2,3796.76,01:17,6,Edge,False,2,VPN
39.226.81.253,dev_155,50,13988.74,07:35,1,Opera,True,2,WiFi
159.17.130.123,dev_67,39,11077.03,06:17,4,Chrome,True,5,Mobile
125.83.191.116,dev_200,37,376.68,19:04,4,Safari,False,4,VPN
67.16.159.57,dev_265,23,5914.45,06:25,5,Edge,False,2,VPN
77.211.182.159,dev_192,11,13073.19,13:02,2,Edge,False,3,Ethernet
88.180.158.72,dev_200,9,8076.85,13:21,1,Firefox,False,4,Mobile
243.219.1.47,dev_250,66,537.38,04:42,5,Chrome,False,3,VPN
143.118.124.203,dev_248,42,14023.75,18:20,5,Firefox,True,5,Ethernet
84.195.218.177,dev_35,52,6612.42,03:19,2,Opera,False,3,WiFi
129.17.8.158,dev_216,15,14120.18,11:17,5,Edge,False,0,WiFi
14.195.104.67,dev_211,20,6527.96,05:22,3,Safari,True,1,Mobile
79.60.8.247,dev_182,12,13468.68,04:36,5,Chrome,True,1,Ethernet
192.124.81.188,dev_59,42,4171.8,08:39,4,Safari,False,2,Mobile
122.193.40.111,dev_188,8,11285.35,20:46,4,Safari,False,1,Mobile
46.98.3.205,dev_246,47,8834.86,07:13,2,Edge,False,3,WiFi
143.77.59.34,dev_254,37,421.37,09:44,4,Chrome,False,4,Mobile
26.22.89.173,dev_95,54,7609.78,19:10,6,Firefox,True,1,Ethernet
131.17.68.111,dev_278,5,9808.69,00:51,3,Firefox,True,1,WiFi
17.234.110.137,dev_53,48,4726.1,21:10,6,Edge,True,2,Mobile
48.163.7.176,dev_65,73,2261.13,14:16,4,Chrome,True,3,Ethernet
206.198.117.141,dev_227,77,111.99,06:36,6,Opera,False,5,VPN
183.171.23.54,dev_98,24,7532.96,09:14,6,Chrome,True,4,WiFi
97.237.173.248,dev_68,11,13310.52,08:09,6,Safari,False,0,VPN
80.14.110.227,dev_104,42,4675.82,07:56,5,Chrome,True,5,WiFi
40.194.60.202,dev_163,56,8502.04,21:16,5,Edge,True,5,WiFi
179.55.95.232,dev_280,3,8307.88,17:18,1,Opera,False,2,WiFi
59.198.110.55,dev_249,63,13917.78,21:05,6,Firefox,True,1,VPN
85.164.97.218,dev_19,69,10931.85,15:32,6,Opera,False,2,VPN
163.212.253.93,dev_229,71,14827.66,12:11,6,Opera,True,4,VPN
60.60.90.126,dev_79,84,10346.52,02:02,1,Edge,False,5,Ethernet
248.14.241.190,dev_202,7,8298.88,04:01,3,Firefox,False,0,VPN
226.155.136.167,dev_210,2,8724.11,04:16,6,Chrome,True,2,Mobile
155.135.180.164,dev_167,85,4315.24,02:57,6,Safari,False,0,WiFi
206.13.198.151,dev_86,7,10179.55,04:52,5,Chrome,True,4,Mobile
187.120.216.60,dev_10,52,5421.4,16:38,4,Firefox,True,5,WiFi
210.201.98.103,dev_199,7,13552.26,04:13,3,Edge,False,5,Mobile
192.206.251.74,dev_157,1,9249.17,16:41,4,Safari,False,1,Mobile
64.234.73.86,dev_10,30,1681.51,11:51,1,Safari,True,4,VPN
63.205.79.24,dev_95,90,11623.95,15:50,5,Safari,False,0,Ethernet
242.204.170.31,dev_178,64,12166.33,20:49,5,Edge,True,5,Ethernet
40.165.55.31,dev_287,60,1517.09,11:37,4,Opera,True,2,WiFi
47.123.153.246,dev_224,32,7621.06,00:50,3,Safari,True,3,WiFi
254.129.74.90,dev_167,20,9552.7,17:47,1,Firefox,True,5,VPN
35.175.73.60,dev_58,11,8957.67,22:15,1,Edge,True,3,Mobile
58.196.241.238,dev_60,10,10365.24,13:13,2,Firefox,False,4,Mobile
111.210.208.25,dev_294,66,10336.65,11:21,2,Safari,True,2,Mobile
26.64.65.245,dev_248,64,11254.86,19:51,2,Safari,True,5,Ethernet
68.101.232.101,dev_114,25,6775.31,18:47,4,Safari,True,5,Mobile
52.93.5.149,dev_294,18,14295.74,12:13,4,Opera,True,2,Mobile
44.109.152.115,dev_79,47,14612.41,23:49,5,Edge,False,4,VPN
144.97.71.6,dev_285,19,14975.63,02:36,2,Edge,True,4,WiFi
191.5.69.118,dev_47,80,3393.16,00:26,5,Safari,False,5,Mobile
52.189.242.87,dev_185,84,12525.04,00:06,1,Opera,False,3,VPN
238.79.246.221,dev_53,23,13023.81,17:34,6,Safari,True,0,VPN
194.109.87.65,dev_280,30,3523.34,22:15,2,Firefox,True,5,WiFi
178.151.148.229,dev_176,53,9448.48,12:22,6,Firefox,False,3,VPN
79.209.144.249,dev_204,50,2719.52,10:24,2,Opera,False,0,VPN
244.93.164.144,dev_56,90,1507.93,02:14,4,Firefox,False,2,Ethernet
105.76.109.40,dev_292,79,2611.58,15:30,1,Firefox,True,0,VPN
226.221.173.23,dev_281,50,13319.28,15:43,3,Safari,False,1,WiFi
140.142.52.219,dev_114,53,13549.93,20:13,5,Chrome,True,0,Ethernet
139.193.105.124,dev_197,26,8492.0,17:05,3,Opera,True,5,Mobile
62.229.26.17,dev_243,86,9560.44,14:52,4,Edge,True,1,Mobile
129.139.68.131,dev_87,89,9082.04,20:15,6,Firefox,False,1,Mobile
56.82.193.227,dev_178,16,8700.19,06:09,1,Firefox,False,4,WiFi
134.127.9.26,dev_57,81,12868.52,22:29,5,Chrome,False,2,VPN
231.174.118.5,dev_244,38,2458.24,12:34,3,Firefox,False,3,Ethernet
207.25.196.168,dev_245,45,6026.33,00:02,2,Opera,True,2,Mobile
78.231.247.16,dev_300,7,14877.28,23:02,3,Opera,False,0,WiFi
63.227.191.150,dev_130,42,9638.98,17:28,2,Opera,False,3,Mobile
246.245.7.168,dev_63,1,2247.11,06:22,2,Edge,True,0,Mobile
160.72.239.26,dev_30,12,12683.96,13:25,6,Edge,False,4,Ethernet
40.170.139.59,dev_25,57,1320.81,01:41,3,Chrome,True,0,WiFi
240.128.197.164,dev_97,23,12123.58,06:57,5,Safari,True,4,VPN
205.180.177.85,dev_122,49,8838.62,06:39,1,Chrome,True,1,Mobile
209.179.249.238,dev_243,33,5433.7,06:08,3,Opera,False,5,Mobile
249.19.188.213,dev_39,59,9405.79,08:36,3,Opera,True,5,Ethernet
159.180.31.55,dev_218,22,8869.65,00:03,1,Firefox,False,4,Ethernet
40.72.87.101,dev_95,86,3814.35,11:21,3,Firefox,True,2,VPN
149.240.16.0,dev_214,4,10546.05,09:50,3,Edge,False,3,WiFi
124.222.17.247,dev_263,68,4328.7,11:31,6,Opera,False,0,VPN
242.226.241.190,dev_104,30,8894.17,19:48,1,Safari,False,0,Mobile
186.83.116.181,dev_219,34,8337.33,03:01,6,Chrome,True,2,Mobile
242.3.12.61,dev_116,55,995.53,18:42,6,Edge,False,0,WiFi
189.116.203.216,dev_101,56,609.35,10:55,3,Edge,False,1,VPN
65.144.1.125,dev_40,14,53.92,18:24,6,Safari,True,1,WiFi
96.56.201.20,dev_110,30,12087.01,05:49,2,Edge,False,2,Ethernet
99.240.100.106,dev_147,82,12265.45,22:51,6,Opera,True,3,WiFi
77.191.114.81,dev_163,88,5948.13,03:07,4,Firefox,True,2,Ethernet
191.144.112.248,dev_73,67,326.01,07:49,1,Safari,True,2,Ethernet
79.61.116.20,dev_29,18,11183.77,08:48,3,Firefox,True,3,VPN
209.199.103.41,dev_14,25,3036.77,01:11,6,Firefox,False,3,Ethernet
247.15.7.120,dev_32,53,1846.9,13:53,6,Opera,True,0,WiFi
97.111.73.59,dev_240,36,5822.61,20:21,3,Edge,False,2,VPN
27.144.206.108,dev_233,76,9458.76,08:14,6,Edge,True,4,Ethernet
32.100.216.133,dev_42,70,5808.2,03:08,4,Opera,False,1,VPN
142.230.104.124,dev_192,48,13142.74,10:07,5,Chrome,True,1,VPN
169.95.165.68,dev_243,53,13548.73,03:03,2,Chrome,True,3,WiFi
144.226.111.196,dev_158,72,8671.46,21:13,5,Safari,True,2,Mobile
105.132.162.77,dev_242,49,12137.16,00:22,5,Chrome,True,2,Ethernet
154.194.62.186,dev_14,19,12421.95,10:08,4,Chrome,True,2,VPN
165.246.7.64,dev_268,7,2363.1,21:03,6,Chrome,False,5,Ethernet
113.142.92.25,dev_268,35,14729.39,08:04,2,Chrome,False,1,WiFi
176.126.188.158,dev_49,37,6816.66,21:27,1,Chrome,False,5,Ethernet
98.60.21.27,dev_40,53,13340.44,20:01,6,Firefox,True,1,Mobile
49.50.19.122,dev_209,5,14351.3,15:23,5,Opera,True,3,Mobile
75.233.173.86,dev_296,1,9048.64,16:02,2,Edge,True,5,WiFi
145.110.229.121,dev_283,35,10980.07,19:31,6,Opera,False,0,VPN
174.39.53.244,dev_109,50,2286.26,00:33,6,Opera,True,1,Ethernet
192.140.73.248,dev_104,33,13094.32,20:19,6,Firefox,False,5,VPN
183.83.44.94,dev_72,34,41.74,13:20,4,Firefox,False,5,Ethernet
186.78.2.24,dev_244,50,12122.16,14:22,1,Firefox,False,3,VPN
28.79.4.180,dev_188,44,12509.63,01:38,3,Edge,False,4,Ethernet
97.180.149.117,dev_294,48,5380.67,01:19,2,Chrome,True,3,WiFi
93.198.75.183,dev_188,34,5061.98,17:50,4,Chrome,False,0,WiFi
217.40.8.213,dev_256,15,1606.65,09:48,1,Firefox,True,2,VPN
255.123.16.51,dev_293,40,13772.96,18:05,6,Firefox,True,2,Mobile
234.181.214.174,dev_20,79,12309.03,02:04,3,Opera,False,3,Ethernet
65.51.238.124,dev_51,65,272.81,03:23,3,Safari,True,5,Mobile
21.199.243.129,dev_269,13,5398.45,16:52,6,Opera,False,2,WiFi
217.17.77.252,dev_184,13,5470.73,03:29,1,Firefox,True,0,VPN
238.12.87.223,dev_132,59,8102.62,02:42,1,Chrome,False,0,VPN
165.149.12.165,dev_19,13,1386.51,17:57,4,Edge,False,2,Mobile
137.201.157.64,dev_146,55,5256.07,04:13,4,Edge,False,2,Ethernet
142.183.159.83,dev_192,52,14649.73,23:28,3,Safari,False,5,Ethernet
66.244.226.22,dev_185,41,5769.04,00:56,3,Firefox,True,4,WiFi
154.70.108.1,dev_227,32,14445.99,22:48,4,Edge,True,5,Ethernet
212.218.61.121,dev_6,74,4617.08,05:10,1,Safari,False,0,Ethernet
193.237.135.34,dev_30,13,557.28,20:45,3,Chrome,False,5,Mobile
222.1.66.120,dev_35,74,5680.8,13:16,4,Edge,True,2,VPN
40.141.140.31,dev_151,64,6701.12,13:15,5,Opera,False,3,Ethernet
74.186.168.89,dev_73,23,6658.55,01:58,2,Chrome,True,3,Mobile
237.88.45.125,dev_4,34,6380.64,00:30,6,Edge,True,0,Mobile
34.195.174.250,dev_195,70,899.56,06:26,5,Opera,True,2,Ethernet
60.207.53.64,dev_155,30,5962.74,21:54,3,Chrome,False,0,Mobile
92.196.118.224,dev_108,55,3625.75,06:54,1,Firefox,True,2,VPN
231.28.188.166,dev_280,58,138.81,20:02,3,Chrome,True,0,WiFi
30.97.143.70,dev_197,68,13433.18,05:58,1,Edge,True,4,VPN
197.134.164.72,dev_44,32,5443.48,11:22,6,Safari,False,5,VPN
180.149.243.22,dev_293,49,9430.7,06:40,3,Firefox,False,5,VPN
18.120.128.243,dev_240,24,13201.27,05:01,4,Safari,False,1,Ethernet
244.243.95.248,dev_211,23,13097.97,04:08,4,Edge,True,0,Ethernet
255.217.27.151,dev_236,23,6263.13,20:38,2,Edge,False,4,WiFi
90.231.9.122,dev_121,74,10972.28,06:04,4,Chrome,True,2,Mobile
159.183.130.156,dev_48,8,2959.91,19:41,4,Safari,True,0,WiFi
100.151.62.247,dev_254,9,1558.01,20:06,3,Opera,True,0,Mobile
200.53.219.31,dev_254,15,3780.45,05:21,5,Chrome,False,3,VPN
84.124.0.165,dev_11,87,13278.42,16:12,5,Opera,False,1,Mobile
251.73.24.106,dev_143,57,198.92,15:03,4,Opera,False,3,Ethernet
96.178.18.18,dev_232,42,5362.88,18:39,3,Firefox,True,2,VPN
143.229.169.144,dev_22,82,9295.86,04:35,6,Chrome,True,5,Mobile
27.255.1.197,dev_253,38,10813.73,02:03,1,Chrome,True,2,WiFi
179.32.156.166,dev_274,28,4221.48,12:42,4,Safari,True,1,VPN
119.107.19.186,dev_289,27,9205.69,06:36,1,Opera,False,1,Ethernet
26.0.145.34,dev_106,70,12753.37,12:40,6,Firefox,True,1,WiFi
180.127.164.100,dev_52,18,13125.47,16:25,6,Safari,True,5,WiFi
124.155.77.98,dev_180,86,3354.18,08:35,1,Chrome,False,2,VPN
186.63.29.201,dev_250,1,7854.62,18:56,4,Edge,True,0,Ethernet
191.98.124.93,dev_160,43,10531.32,20:59,6,Opera,False,5,WiFi
203.123.115.196,dev_210,4,3861.49,18:29,3,Chrome,True,0,WiFi
173.36.186.63,dev_208,73,1747.18,18:24,3,Safari,True,1,Ethernet
30.31.71.183,dev_296,63,6017.82,20:05,3,Opera,False,5,WiFi
121.61.165.218,dev_58,32,11946.01,09:53,2,Chrome,False,5,Ethernet
254.250.67.61,dev_228,9,9594.56,08:14,2,Safari,True,0,WiFi
247.211.172.159,dev_283,29,10213.38,17:21,4,Edge,True,4,WiFi
176.222.172.214,dev_114,87,12276.48,00:35,5,Firefox,False,4,WiFi
179.76.7.223,dev_183,6,7148.27,00:50,5,Edge,True,4,WiFi
26.247.202.181,dev_3,41,5191.67,02:59,6,Chrome,True,2,VPN
155.184.183.113,dev_251,12,10842.39,03:31,5,Safari,False,2,VPN
54.160.52.165,dev_78,11,7439.25,15:13,6,Safari,True,0,WiFi
103.69.126.134,dev_61,47,1435.96,10:30,1,Opera,True,1,Ethernet
192.104.219.177,dev_293,68,9776.15,06:10,1,Firefox,True,4,Mobile
125.192.41.208,dev_252,19,4775.69,22:27,1,Edge,False,0,WiFi
37.255.79.210,dev_159,40,8276.58,03:29,5,Opera,False,4,WiFi
111.190.73.103,dev_22,63,10708.32,14:26,6,Chrome,False,5,WiFi
195.255.34.156,dev_55,27,4770.16,02:18,1,Firefox,True,3,Ethernet
111.21.75.213,dev_37,5,14861.96,13:15,5,Opera,True,5,Mobile
225.221.32.88,dev_300,17,2033.49,05:11,3,Edge,True,5,WiFi
111.169.110.144,dev_212,23,10414.07,10:43,6,Chrome,True,4,Ethernet
104.105.120.27,dev_293,81,8771.18,03:34,1,Safari,True,2,WiFi
215.48.31.97,dev_234,10,12143.38,00:19,1,Chrome,True,5,VPN
77.78.113.109,dev_253,3,1708.27,03:16,3,Safari,False,0,Ethernet
124.67.53.0,dev_120,8,5020.23,10:48,6,Opera,False,4,WiFi
31.16.111.138,dev_97,6,4415.75,15:26,2,Opera,True,3,Ethernet
59.82.123.97,dev_291,42,12094.0,01:59,1,Edge,True,0,Ethernet
199.179.110.128,dev_135,88,10338.26,22:28,6,Opera,True,2,WiFi
216.252.254.16,dev_47,86,10133.44,16:18,6,Opera,False,0,Mobile
56.200.106.255,dev_155,77,2301.3,09:32,5,Safari,False,1,Mobile
31.88.17.117,dev_51,74,6853.2,10:49,1,Firefox,True,5,Mobile
248.175.68.145,dev_91,84,8910.36,21:24,5,Edge,False,3,VPN
157.59.136.92,dev_187,70,2019.26,08:37,5,Opera,True,4,WiFi
173.13.182.186,dev_267,29,8095.52,22:06,5,Safari,True,0,Mobile
40.70.118.248,dev_214,82,11381.51,15:33,5,Chrome,False,0,Mobile
222.75.160.61,dev_93,58,9611.58,18:31,6,Opera,True,3,WiFi
204.109.80.134,dev_185,42,7408.94,11:59,1,Safari,False,4,Ethernet
100.214.160.2,dev_18,45,3424.36,04:31,6,Chrome,False,5,Ethernet
70.127.99.140,dev_148,76,6202.72,06:23,1,Chrome,True,5,WiFi
119.57.6.228,dev_48,59,1629.75,12:41,2,Opera,False,0,Ethernet
99.98.182.108,dev_245,36,10766.73,20:50,3,Safari,True,3,Ethernet
242.67.91.220,dev_93,13,11886.82,17:25,3,Firefox,False,4,Mobile
212.247.76.130,dev_51,18,8060.29,17:45,3,Safari,False,4,VPN
189.228.72.52,dev_84,82,7320.03,20:49,3,Opera,True,0,Ethernet
17.247.185.32,dev_290,74,5095.96,00:23,6,Opera,False,2,VPN
178.27.114.130,dev_138,90,1746.07,06:25,1,Firefox,True,3,WiFi
75.202.90.96,dev_180,53,11900.18,12:39,3,Opera,True,1,Ethernet
122.23.156.97,dev_256,49,11372.65,17:27,5,Edge,True,2,Ethernet
62.237.246.14,dev_222,60,8639.05,07:01,1,Firefox,False,5,Ethernet
90.106.62.128,dev_194,63,11103.36,06:38,3,Firefox,True,1,VPN
174.230.24.120,dev_15,63,3215.14,09:26,4,Safari,True,3,Ethernet
175.203.190.198,dev_90,47,5198.64,10:38,4,Opera,True,5,VPN
166.155.149.242,dev_168,22,8667.2,00:10,2,Chrome,False,2,Ethernet
10.202.50.30,dev_142,54,5094.53,13:44,5,Edge,True,1,Ethernet
102.54.99.174,dev_9,69,7100.58,00:09,6,Edge,True,0,Ethernet
32.111.10.70,dev_299,33,896.9,13:03,3,Safari,False,0,Ethernet
180.79.77.235,dev_272,9,11192.77,07:56,3,Edge,True,2,VPN
109.83.15.196,dev_232,84,7906.61,00:31,3,Chrome,True,4,VPN
114.195.252.134,dev_130,41,1141.63,17:54,6,Chrome,True,3,WiFi
108.41.148.238,dev_84,62,9451.55,17:16,3,Firefox,False,2,VPN
25.91.76.248,dev_247,12,1229.59,18:37,6,Edge,True,1,Mobile
76.81.146.16,dev_288,51,3230.39,20:16,4,Safari,False,4,Mobile
116.246.81.47,dev_105,7,2942.53,07:07,5,Safari,False,2,Mobile
168.146.62.88,dev_259,15,10303.02,21:53,2,Chrome,True,4,Ethernet
160.6.80.11,dev_261,86,3530.32,08:27,4,Chrome,False,1,VPN
187.40.201.192,dev_89,16,10926.9,18:42,2,Chrome,True,5,WiFi
223.149.243.87,dev_66,11,9580.9,08:48,2,Chrome,True,2,VPN
157.14.28.1,dev_163,21,7955.26,18:35,1,Edge,True,1,Mobile
242.22.112.84,dev_6,73,1898.31,01:10,3,Chrome,True,3,Ethernet
16.41.68.134,dev_167,28,11099.94,18:39,3,Safari,False,0,Ethernet
233.154.24.71,dev_183,35,8370.71,03:34,2,Opera,False,1,Ethernet
94.116.202.61,dev_60,53,13011.52,13:52,1,Edge,False,5,WiFi
137.38.247.88,dev_166,34,2785.0,05:12,1,Edge,True,4,Mobile
107.105.53.123,dev_193,70,720.09,23:35,6,Safari,False,3,Ethernet
233.122.122.199,dev_202,82,4827.56,00:47,1,Chrome,False,4,Ethernet
99.194.184.111,dev_89,24,13747.15,06:38,3,Safari,True,0,Ethernet
54.4.120.168,dev_293,52,2502.46,23:38,2,Edge,False,5,VPN
206.83.147.118,dev_256,14,7717.78,20:43,5,Safari,True,1,Mobile
93.21.169.34,dev_142,33,6659.84,03:01,2,Edge,False,2,Ethernet
63.253.189.110,dev_142,70,11573.38,00:00,2,Opera,True,5,Ethernet
10.190.103.109,dev_116,65,2366.33,05:27,3,Firefox,True,1,Ethernet
133.197.191.199,dev_217,73,14148.65,08:10,3,Firefox,True,5,VPN
21.55.39.12,dev_249,11,4082.07,16:52,5,Safari,True,4,Mobile
188.252.245.194,dev_258,67,4759.98,07:42,3,Firefox,False,5,Ethernet
241.146.14.76,dev_176,39,9701.94,09:03,4,Firefox,False,1,Ethernet
158.64.56.7,dev_63,60,12555.86,23:06,3,Safari,True,4,WiFi
178.20.238.145,dev_155,73,4395.15,11:34,1,Edge,False,2,Mobile
28.92.108.162,dev_92,26,14935.89,06:02,4,Firefox,True,1,Mobile
89.120.221.222,dev_240,60,4698.84,08:57,6,Opera,True,4,WiFi
104.142.11.112,dev_24,68,6689.86,00:00,5,Opera,False,2,WiFi
201.165.181.137,dev_110,66,4289.49,03:23,4,Opera,True,5,Mobile
90.124.208.31,dev_59,28,444.33,16:00,6,Safari,False,2,VPN
73.12.119.31,dev_261,22,1975.86,07:05,1,Opera,True,4,Ethernet
55.184.47.143,dev_25,55,931.8,05:46,1,Firefox,True,3,VPN
35.243.251.38,dev_85,35,14781.95,18:43,4,Safari,False,1,WiFi
182.109.14.220,dev_156,38,6557.59,21:53,2,Opera,True,2,WiFi
134.34.41.119,dev_292,56,3794.43,04:38,4,Edge,True,0,WiFi
197.40.198.206,dev_200,16,13024.45,21:26,6,Firefox,True,3,WiFi
14.143.14.6,dev_197,39,6768.53,13:45,4,Chrome,False,0,WiFi
61.67.29.218,dev_201,35,5124.84,12:59,3,Edge,False,2,WiFi
136.239.106.199,dev_91,48,9267.22,05:27,2,Firefox,True,3,Ethernet
47.30.240.13,dev_199,58,9215.73,06:32,2,Chrome,False,1,Ethernet
225.233.73.202,dev_34,88,12077.94,16:28,3,Safari,False,2,Mobile
108.208.32.44,dev_119,37,5424.86,14:17,6,Opera,False,3,Ethernet
137.15.140.161,dev_230,13,3736.67,07:09,5,Edge,True,3,Ethernet
255.131.193.65,dev_269,19,14829.92,10:18,2,Safari,False,2,Ethernet
108.190.174.136,dev_117,53,13317.56,04:23,2,Opera,False,1,Ethernet
153.133.245.192,dev_53,31,212.11,20:25,2,Safari,False,5,WiFi
110.187.186.156,dev_55,71,12950.99,06:55,6,Chrome,True,0,Mobile
119.143.0.81,dev_299,53,4862.01,21:27,6,Edge,True,3,Mobile
183.123.47.11,dev_90,12,6846.54,20:39,2,Safari,True,1,WiFi
209.139.194.253,dev_239,13,3947.25,11:51,1,Opera,True,4,VPN
14.123.255.204,dev_104,16,13651.85,08:06,2,Edge,True,3,WiFi
107.148.193.122,dev_224,59,1390.46,13:05,6,Firefox,False,1,Mobile
68.68.50.197,dev_205,1,9205.91,03:58,6,Edge,False,4,VPN
78.50.78.148,dev_115,79,6765.81,17:50,6,Chrome,True,3,Mobile
28.227.175.240,dev_260,80,2876.5,22:50,5,Edge,True,3,VPN
55.186.184.235,dev_40,86,13329.73,07:29,5,Safari,False,2,VPN
115.240.57.166,dev_272,55,8718.2,09:24,2,Opera,True,0,VPN
110.49.161.219,dev_84,85,12753.83,03:42,6,Chrome,False,2,Mobile
38.116.97.99,dev_228,70,14088.67,01:00,2,Safari,False,4,VPN
24.29.201.187,dev_80,35,558.25,15:30,3,Opera,False,2,VPN
198.11.0.188,dev_24,46,7290.77,08:31,3,Opera,False,1,WiFi
212.212.99.64,dev_118,56,14102.87,21:38,3,Opera,True,0,WiFi
77.124.129.68,dev_60,67,12662.58,01:32,2,Firefox,True,5,Mobile
119.255.64.147,dev_141,81,14592.94,20:42,5,Chrome,True,5,Mobile
165.58.119.125,dev_78,65,11633.53,20:26,4,Opera,False,3,Mobile
132.189.121.209,dev_174,38,8592.26,01:05,3,Safari,False,0,Mobile
239.255.103.95,dev_181,86,7823.18,10:28,6,Edge,True,4,WiFi
214.169.63.30,dev_199,4,387.15,13:52,1,Firefox,True,5,WiFi
200.22.24.49,dev_207,76,11802.25,21:41,1,Opera,True,1,Mobile
234.114.241.244,dev_16,71,10171.68,00:39,4,Edge,False,4,Ethernet
28.209.219.243,dev_259,52,13079.06,11:09,4,Chrome,True,1,Ethernet
100.137.182.154,dev_15,72,143.03,12:44,1,Chrome,True,1,WiFi
138.6.225.7,dev_58,19,5381.92,07:18,6,Safari,False,2,WiFi
89.224.5.207,dev_68,84,11989.21,08:39,3,Firefox,True,1,WiFi
233.155.35.179,dev_99,54,10323.52,07:13,6,Opera,False,0,VPN
13.116.99.44,dev_66,21,12175.11,12:52,2,Edge,True,1,Ethernet
241.173.3.81,dev_93,12,7083.81,11:15,2,Safari,False,3,Ethernet
142.126.17.136,dev_6,10,11914.14,06:06,5,Edge,True,4,Mobile
32.147.165.247,dev_210,17,5034.52,08:56,4,Firefox,False,3,VPN
23.254.85.215,dev_125,75,10789.01,02:02,1,Edge,False,4,Mobile
